NAME,CATEGORY,Latitude ,Longitude,Address,Notes,,,
Ninth Street Espresso,Better Coffee Option,40.741934,-74.004897,"75 9th Avenue, New York, NY",Organic Almond Milk ,,,
Ninth Street Espresso,Better Coffee Option,40.725022,-73.977779," 700 E 9th St
New York,",Organic Almond Milk ,,,
Ninth Street Espresso,Better Coffee Option,40.760946,-73.970288,"109 E 56th St, New York",Organic Almond Milk ,,,
Birch Coffee,Better Coffee Option,40.738343,-74.000070,"56 7th Ave New York, NY","Organic Almond Milk, Soy Milk",,,
Birch Coffee,Better Coffee Option,40.743643,-73.986428,"21 E 27th St
New York","Organic Almond Milk, Soy Milk",,,
Birch Coffee,Better Coffee Option,40.763812,-73.966601,134-1/2 East 62nd Street,,,,
Caffe Reggio,Better Coffee Option,40.730268,-74.000417,"119 Macdougal St, New York, NY 10012",,,,
Irving Farm,Better Coffee Option,40.736814,-73.987023,"71 IRVING PLACE, NEW YORK ","Organic Almond Milk, ",,,
Irving Farm,Better Coffee Option,40.752496,-73.977299,89 EAST 42ND STREET,"Organic Almond Milk, ",,,
Irving Farm,Better Coffee Option,40.717975,-73.990091,"88 Orchard Street, New York, NY","Organic Almond Milk, ",,,
Irving Farm,Better Coffee Option,40.783337,-73.979523, 224 WEST 79TH STREET,,,,
Café Grumpy,Better Coffee Option,40.742666,-73.998317,"224 W 20th St New York, NY",,,,
Café Grumpy,Better Coffee Option,40.754171,-73.988952,"200 W 39th St
New York, NY",,,,
Café Grumpy,Better Coffee Option,40.728626,-73.948741,"193 Meserole Ave
Brooklyn, NY",,,,
Joe Cafe,Better Coffee Options,40.785641,-73.972856,"514 Columbus Ave, New York","Organic Almond Milk, ",,,
Joe Cafe,Better Coffee Options,40.752726,-73.977229,44 grand central terminal,"Organic Almond Milk, ",,,
Joe Cafe,Better Coffee Options,40.735116,-73.993302,"9 east 13th street, New York, NY","Organic Almond Milk, ",,,
Joe Cafe,Better Coffee Options,40.733323,-74.000521,"141 waverly place, New York, NY","Organic Almond Milk, ",,,
Joe Cafe,Better Coffee Options,40.772019,-73.960694,"1045 lexington avenue, New York, NY","Organic Almond Milk, ",,,
Joe Cafe,Better Coffee Options,40.746811,-74.001532,"405 west 23rd street New York, NY","Organic Almond Milk, ",,,
Joe Cafe,Better Coffee Options,40.677075,-74.018126,"175 van dyke street, Brooklyn, New York","Organic Almond Milk, ",,,
Joe Cafe,Better Coffee Options,40.775016,-73.980296,"187 columbus avenue, New York ","Organic Almond Milk, ",,,
Joe Cafe,Better Coffee Options,40.742398,-73.995066,"131 west 21st street New York, NY","Organic Almond Milk, ",,,
Everyman Espresso ,Better Coffee Options,40.721451,-74.004329,"301 W Broadway
New York, NY",,,,
Everyman Espresso ,Better Coffee Options,40.732713,-73.988325,"136 E 13th St
New York, NY",,,,
Toby’s Estate Coffee,Better Coffee Options,40.717888,-73.959267,"125 N 6th St, Brooklyn, NY",,,,
Ground Support ,Better Coffee Options,40.717888,-73.959267,"399 W Broadway, New York, ",Organic Almond Milk and Supermodels,,,
Blue Bottle Cafe,Better Coffee Options,40.717439,-73.960699,"160 Berry St
Brooklyn, New York",Organic Almond Milk and hipsters,,,
Blue Bottle Cafe,Better Coffee Options,40.687265,-73.989750,"85 Dean St Brooklyn, NY",Organic Almond Milk and hipsters,,,
Blue Bottle Cafe,Better Coffee Options,40.742263,-74.007419,"450 W 15th St
New York, NY",Organic Almond Milk and hipsters,,,
Blue Bottle Cafe,Better Coffee Options,40.752966,-73.984234,"54 W 40th St.
New York, NY 10018",Organic Almond Milk and hipsters,,,
Blue Bottle Cafe,Better Coffee Options,40.762384,-73.996751,"600 11th Ave.
New York, NY",Organic Almond Milk and hipsters,,,
Blue Bottle Cafe,Better Coffee Options,40.758062,-73.978865,"1 Rockefeller Plaza, New York ",Organic Almond Milk and hipsters,,,
Blue Bottle Cafe,Better Coffee Options,40.743465,-74.007255,"10th Ave and West 16th Street New York, NY",Organic Almond Milk and hipsters,,,
PushCart Coffee,Better Coffee Options,40.736752,-73.981320,"362 2nd Ave
New York, NY","Coffee, Craft Beer and pretty baristas",,,
PushCart Coffee,Better Coffee Options,40.748110,-74.000544,"401 W 25th St
New York, NY","Coffee, Craft Beer and pretty baristas",,,
Stumptown Coffee Roasters,Better Coffee Options,40.732750,-73.998001,"30 W 8th St
New York, NY",Perfect drip coffee ,,,
Stumptown Coffee Roasters,Better Coffee Options,40.745721,-73.988208,"Ace Hotel New York, 18 W 29th St New York, NY",Perfect drip coffee ,,,
Blue Bird Coffee Shop,Better Coffee Options,40.723464,-73.988563,"72 E 1st St,New York, NY",Consistent Quality Coffee ,,,
El Rey Coffee Bar & Luncheonette,Better Coffee Options,40.721378,-73.987934,"100 Stanton St, New York",Delicious Coffee and Vegan delicacies ,,,
Housing Works Bookstore Cafe,Better Coffee Options,40.724604,73.996576,"126 Crosby St, New York",Coffee and books,,,
Mcnally Jackson Bookstore Cafe,Better Coffee Options,40.723372,-73.996077,"52 Prince St
New York, NY",Coffee and Art Books ,,,
"11th Street Cafe New York, NY",Better Coffee Options,40.735850,-74.007617," 327 W 11th St, New York",Village actor’s hangout,,,
Bluestockings,Better Coffee Options,40.721409,-73.988916,"172 Allen Street New York, New York ",,,,
Laughing Man Marketplace,Better Coffee Options,40.717315,-74.010179,"184 Duane St, New York",Flat White experts,,,
Laughing Man Marketplace,Better Coffee Option,40.714716,-74.016999,"Battery Park City  1 North End Avenue, New York",Flat White experts,,,
Happy Bones,Better Coffee Options,40.720719,-73.996922,"394 Broome St, New York",,,,
Cafe Boca Ciega,Better Coffee Options,40.717356,-74.004169,"355 Broadway, New York",Great Cuban Coffee,,,
La Colombe Torrefaction,Better Coffee Options,40.723951,-73.996444,"270 Lafayette St, New York
","Hemp Milk, models and trendy people",,,
La Colombe Torrefaction,Better Coffee Options,40.719865,-74.003761,"319 Church St
New York, NY","Hemp Milk, models and trendy people",,,
La Colombe Torrefaction,Better Coffee Options,40.728221,-73.993166,"400 Lafayette St
New York,","Hemp Milk, models and trendy people",,,
La Colombe Torrefaction,Better Coffee Options,40.726569,-74.007225,"75 Vandam Street
New York, NY","Hemp Milk, models and trendy people",,,
Saturday’s Surf NYC,Better Coffee Options,40.720719,-73.999300,"31 Crosby St, New York, NY",California coffee refuge ,,,
Saturday’s Surf NYC,Better Coffee Options,40.735876,-74.001936,"17 Perry St
New York, NY ",California coffee refuge ,,,
Cafe Integral,Better Coffee Options,40.720162,-73.999817,"135 Grand St, New York",Nicaraguan Coffee Master,,,
Kaffe 1668,Better Coffee Options,40.715180,-74.010992,"275 Greenwich St, New York",Delicious coffee variaties and sheeps,,,
Kaffe 1668,Better Coffee Options,40.720908,-74.009681,"401 Greenwich Street, New York ",Delicious coffee variaties and sheeps,,,
Kaffe 1668,Better Coffee Options,40.755279,-73.980044,"530 5th Avenue, New York",Delicious coffee variaties and sheeps,,,
Toby’s State ,Better Coffee Options,40.717888,-73.959267,"125 N 6th St, Brooklyn",,,,
Brooklyn Roasting Company,Better Coffee Options,40.704269,-73.986309,"25 Jay St, Brooklyn, NY",,,,
SweetLeaf,Better Coffee Options,40.719413,-73.962235,"135 Kent Avenue, Brooklyn",,,,
Propeller Coffee,Better Coffee Options,40.732738,-73.954449," 984 Manhattan Ave, Brooklyn",,,,
Gorilla Coffee,Better Coffee Options,40.679695,-73.977972,"97 5th Ave, Brooklyn, NY",,,,
Gorilla Coffee,Better Coffee Options,40.680818,-73.975692,472 Bergen Street,,,,
Intelligentsia Coffee,Better Coffee Options,40.751190,-73.987900,"1333 Broadway
New York,",Expert coffee brewers ,,,
Intelligentsia Coffee,Better Coffee Options,40.745962,-74.004993,"180 10th Ave.
New York",Expert coffee brewers ,,,
Little Collins,Better Coffee Options,40.759895,-73.969654," 667 Lexington Avenue, New York",,,,
Devoción ,Better Coffee Options,40.716064,-73.964717,"69 Grand St. Brooklyn, New York",Cafe 100% Colombiano,,,
Bourbon Coffee,Better Coffee Options,40.737217,-73.995563,"43 W 14th St, New York",,,,
Konditori,Better Coffee Options,40.687860,-73.989992,"114 Smith Street, Brooklyn, New York ",Swedish Delights/Gluten Free Vegan muffins,,,
Konditori,Better Coffee Options,40.677298,-73.980182,"186 Fifth Ave, Brooklyn, NY",Swedish Delights/Gluten Free Vegan muffins,,,
Konditori,Better Coffee Options,40.669738,-73.979485,"240 7th Ave, Brooklyn, New York ",Swedish Delights/Gluten Free Vegan muffins,,,
Konditori,Better Coffee Options,40.677092,-73.963864,"696 Washington Ave, Brooklyn, New York ",Swedish Delights/Gluten Free Vegan muffins,,,
Konditori,Better Coffee Options,40.717744,-73.957310,"167 N. 7th Street, Brooklyn, New York ",Swedish Delights/Gluten Free Vegan muffins,,,
Konditori,Better Coffee Options,40.721814,-73.988659,"182 Allen Street, New York, NY",Swedish Delights/Gluten Free Vegan muffins,,,
Konditori,Better Coffee Options,40.725076,-73.951774,"687 Manhattan Ave, Brooklyn, New York ",Swedish Delights/Gluten Free Vegan muffins,,,